symbol,method,impulse_min_bps,latency_ms,bar_ms,n_events,mean_gross_bps,best_hour_gross_bps,mean_net_bps,best_hour_net_bps,follow_through,positive_hours,med_slip_bps,pass_candidate
ETHUSDT,bar,3.0,150,50,2000,1.269,2.263,-10.252,-9.258,0.642,0,0.521,False
ETHUSDT,event,3.0,150,100,2000,1.391,2.066,-10.13,-9.455,0.692,0,0.521,False
ETHUSDT,bar,3.0,150,100,2000,0.784,1.381,-10.737,-10.14,0.598,0,0.521,False
ETHUSDT,event,3.0,250,50,2000,2.429,3.467,-9.092,-8.054,0.767,0,0.521,False
ETHUSDT,bar,3.0,250,50,2000,1.213,2.146,-10.308,-9.375,0.61,0,0.521,False
ETHUSDT,event,3.0,250,100,2000,1.327,1.888,-10.194,-9.633,0.673,0,0.521,False
ETHUSDT,bar,3.0,250,100,2000,0.74,1.323,-10.781,-10.198,0.577,0,0.521,False
ETHUSDT,event,5.0,80,50,937,3.774,5.101,-7.747,-6.42,0.797,0,0.521,False
ETHUSDT,bar,5.0,80,50,1063,1.991,3.155,-9.53,-8.365,0.647,0,0.521,False
ETHUSDT,event,5.0,80,100,1156,1.81,2.667,-9.711,-8.854,0.627,0,0.521,False
ETHUSDT,bar,5.0,80,100,1209,1.118,1.857,-10.403,-9.664,0.561,0,0.521,False
ETHUSDT,event,5.0,150,50,937,3.783,4.999,-7.738,-6.522,0.776,0,0.521,False
ETHUSDT,bar,5.0,150,50,1063,2.022,3.084,-9.499,-8.436,0.623,0,0.521,False
ETHUSDT,event,5.0,150,100,1156,1.804,2.743,-9.716,-8.778,0.619,0,0.521,False
ETHUSDT,bar,5.0,150,100,1209,1.097,1.815,-10.424,-9.706,0.553,0,0.521,False
ETHUSDT,event,5.0,250,50,937,3.683,4.91,-7.838,-6.611,0.747,0,0.521,False
ETHUSDT,bar,5.0,250,50,1063,1.918,3.006,-9.603,-8.515,0.61,0,0.521,False
ETHUSDT,event,5.0,250,100,1156,1.727,2.784,-9.794,-8.737,0.602,0,0.521,False
ETHUSDT,bar,5.0,250,100,1209,1.073,2.127,-10.447,-9.394,0.548,0,0.521,False
ETHUSDT,event,8.0,80,50,255,6.008,15.553,-5.513,4.033,0.835,1,0.521,False
ETHUSDT,bar,8.0,80,50,286,3.239,5.245,-8.282,-6.276,0.657,0,0.521,False
ETHUSDT,event,8.0,80,100,321,2.844,7.76,-8.676,-3.761,0.642,0,0.521,False
ETHUSDT,bar,8.0,80,100,342,1.982,3.502,-9.539,-8.019,0.579,0,0.521,False
ETHUSDT,event,8.0,150,50,255,6.076,17.569,-5.445,6.048,0.804,1,0.521,False
ETHUSDT,bar,8.0,150,50,286,3.331,5.46,-8.19,-6.061,0.643,0,0.521,False
ETHUSDT,event,8.0,150,100,321,2.91,10.821,-8.611,-0.699,0.654,0,0.521,False
ETHUSDT,bar,8.0,150,100,342,1.845,4.555,-9.676,-6.966,0.57,0,0.521,False
ETHUSDT,event,8.0,250,50,255,6.116,17.982,-5.405,6.461,0.78,1,0.521,False
ETHUSDT,bar,8.0,250,50,286,3.371,6.362,-8.15,-5.159,0.643,0,0.521,False
ETHUSDT,event,8.0,250,100,321,2.85,8.34,-8.671,-3.18,0.639,0,0.521,False
ETHUSDT,bar,8.0,250,100,342,1.747,3.645,-9.774,-7.875,0.564,0,0.521,False
ETHUSDT,event,12.0,80,50,73,8.862,11.703,-2.659,0.182,0.863,1,0.521,False
ETHUSDT,bar,12.0,80,50,83,5.265,7.683,-6.256,-3.838,0.759,0,0.521,False
ETHUSDT,event,12.0,80,100,87,4.729,10.605,-6.792,-0.916,0.747,0,0.521,False
ETHUSDT,bar,12.0,80,100,93,3.81,6.819,-7.711,-4.701,0.645,0,0.521,False
ETHUSDT,event,12.0,150,50,73,9.017,13.18,-2.503,1.66,0.849,2,0.521,False
ETHUSDT,bar,12.0,150,50,83,5.379,8.009,-6.142,-3.511,0.723,0,0.521,False
ETHUSDT,event,12.0,150,100,87,5.101,8.253,-6.419,-3.268,0.759,0,0.521,False
ETHUSDT,bar,12.0,150,100,93,3.179,6.838,-8.342,-4.682,0.591,0,0.521,False
ETHUSDT,event,12.0,250,50,73,9.228,14.169,-2.293,2.648,0.822,3,0.521,True
ETHUSDT,bar,12.0,250,50,83,5.219,8.867,-6.302,-2.654,0.699,0,0.521,False
ETHUSDT,event,12.0,250,100,87,4.817,7.779,-6.704,-3.741,0.678,0,0.521,False
ETHUSDT,bar,12.0,250,100,93,2.807,7.105,-8.714,-4.416,0.613,0,0.521,False
